city,population_proper
"Prairie Ridge, WA",
"Edison, WA",
"Packwood, WA",
"Wautauga Beach, WA",
"Harper, WA",
"Telma, WA",
"Kahlotus, WA",189
"Mondovi, WA",
"Washtucna, WA",195
"Pleasant Hill, WA",
"Toledo, WA",738
"Wabash, WA",
"Renton, WA",100953
"Chehalis, WA",7498
"Central Valley, WA",
"Lake City, WA",
"Megler, WA",
"Alder, WA",
"Ronald, WA",
"Belvedere, WA",
"Waverly, WA",110
"Turner Corner, WA",
"Lofall, WA",
"Kennydale, WA",
"Easton, WA",
"Navy Yard City, WA",
"Mercer Island, WA",25134
"Lynnwood, WA",38092
"Coulee City, WA",569
"Douglas, WA",
"Centralia, WA",16982
"Colbert, WA",
"Bryn Mawr, WA",
"Silverdale, WA",
"Lyle, WA",
"Malott, WA",
"Mountlake Terrace, WA",21182
"Ilwaco, WA",929
"Fairwood, WA",
"Warm Beach, WA",
"Thomas, WA",
"Parker, WA",
"Steptoe, WA",
"Vail, WA",
"Magnolia Beach, WA",
"Lakeview, WA",
"Shaw Island, WA",
"Oakesdale, WA",435
"Rosburg, WA",
"Seattle, WA",704352
"Onalaska, WA",
"George, WA",495
"Index, WA",199
"Winchester, WA",
"Chelatchie, WA",
"Allentown, WA",
"Novelty, WA",
"Rosalia, WA",565
"Richmond Beach, WA",
"Lakota, WA",
"Liberty Lake, WA",9209
"Airway Heights, WA",6672
"Reardan, WA",567
"Silvana, WA",
"Brier, WA",6743
"Robe, WA",
"Elk Plain, WA",
"Port Townsend, WA",9527
"Ocean City, WA",
"Boulevard Park, WA",
"Newhalem, WA",
"Ford, WA",
"Waterville, WA",1181
"Quinault, WA",
"Humptulips, WA",
"Hamilton, WA",299
"Oak Harbor, WA",23204
"Naches, WA",823
"Anacortes, WA",16681
"Kettle Falls, WA",1604
"Walnut Grove, WA",
"Salkum, WA",
"Cunningham, WA",
"Irby, WA",
"Electric City, WA",1001
"Burbank, WA",
"Silver Lake, WA",
"Dash Point, WA",
"Woods Creek, WA",
"McKenna, WA",
"Island View, WA",
"Kalama, WA",2484
"Grandview, WA",11159
"Winthrop, WA",430
"Maltby, WA",
"Spangle, WA",297
"Blanchard, WA",
"Artondale, WA",
"May Creek, WA",
"Home, WA",
"Vashon, WA",
"Snoqualmie Falls, WA",
"Laurier, WA",
"Quincy, WA",7387
"Lake McMurray, WA",
"Martha Lake, WA",
"Ariel, WA",
"Loon Lake, WA",
"Thornton, WA",
